-1.20565,-499.999
-7.16642,-499.949
-8.41872,-499.929
-12.6451,-499.84
-18.0613,-499.674
-18.3098,-499.665
-18.7112,-499.65
-26.1044,-499.318
-26.8135,-499.281
-28.3412,-499.196
-31.6813,-498.995
-39.5264,-498.435
-40.48,-498.359
-41.3511,-498.287
-43.152,-498.134
-44.2241,-498.04
-46.3782,-497.844
-55.852,-496.871
-57.5276,-496.68
-60.9547,-496.271
-62.5441,-496.073
-71.1597,-494.91
-73.8794,-494.512
-74.7374,-494.383
-74.8159,-494.371
-84.7385,-492.767
-87.5153,-492.281
-88.348,-492.133
-88.7591,-492.059
-90.7885,-491.688
-91.1803,-491.616
-92.0976,-491.445
-93.0654,-491.262
-98.447,-490.212
-105.454,-488.753
-110.313,-487.679
-111.939,-487.309
-112.801,-487.11
-117.423,-486.016
-120.257,-485.323
-120.844,-485.177
-121.444,-485.027
-122.327,-484.805
-127.656,-483.429
-129.871,-482.839
-132.754,-482.054
-133.51,-481.845
-136.985,-480.869
-139.241,-480.221
-139.72,-480.082
-142.672,-479.213
-153.439,-475.874
-155.965,-475.052
-157.953,-474.395
-161.461,-473.213
-161.537,-473.187
-163.667,-472.455
-165.508,-471.813
-166.964,-471.299
-167.843,-470.987
-168.153,-470.876
-170.005,-470.211
-173.154,-469.06
-175.59,-468.154
-176.925,-467.651
-179.044,-466.844
-180.488,-466.288
-182.425,-465.533
-188.436,-463.133
-189.802,-462.574
-190.515,-462.281
-192.312,-461.537
-199.809,-458.341
-201.557,-457.575
-203.797,-456.582
-204.376,-456.323
-208.292,-454.549
-209.93,-453.794
-210.882,-453.353
-212.015,-452.824
-213.331,-452.206
-220.905,-448.554
-222.027,-448
-225.061,-446.483
-235.28,-441.184
-237.723,-439.873
-243.657,-436.613
-243.833,-436.515
-244.06,-436.388
-252.022,-431.839
-275.531,-417.232
-279.161,-414.812
-290.106,-407.233
-291.149,-406.488
-291.63,-406.143
-294.468,-404.09
-296.876,-402.324
-299.732,-400.201
-301.845,-398.61
-306.197,-395.276
